"Story","Title","Result","Date","Stability","Duration (s)"
"Eliminar usuario","Eliminar usuario","SUCCESS","2023-04-03T15:13:03.7117568-05:00[America/Bogota]","0.0","9.84"
"Listar un solo usuario en reqres","Listar usuario","PENDING","2023-04-01T17:42:34.1863712-05:00[America/Bogota]","0.0","0.36"
"Listar usuarios en reqres","Listar usuarios","FAILURE","2023-04-03T15:13:13.6221156-05:00[America/Bogota]","0.0","2.13"
"Enviar peticion get","Enviar peticion","SUCCESS","2023-04-03T15:13:15.7842721-05:00[America/Bogota]","0.0","0.74"
"Actualizar usuario patch","Actualizar usuario patch","FAILURE","2023-04-03T15:13:16.5444846-05:00[America/Bogota]","0.0","1.41"
"Registro exitoso","Crear un usuario","SUCCESS","2023-04-02T15:35:57.3117199-05:00[America/Bogota]","0.0","1.66"
"Crear usuario","Crear un usuario","FAILURE","2023-04-03T15:13:17.9858819-05:00[America/Bogota]","0.0","0.94"
"Login exitoso","Login Exitoso","FAILURE","2023-04-03T15:13:18.9600858-05:00[America/Bogota]","0.0","0.75"
"Login fallido","Login Fallido","SUCCESS","2023-04-03T15:13:19.7400006-05:00[America/Bogota]","0.0","0.71"
"Registro exitoso","Registro Exitoso","SUCCESS","2023-04-03T15:13:20.4618083-05:00[America/Bogota]","0.0","0.72"
"Registro fallido","Registro fallido","SUCCESS","2023-04-03T15:13:21.1909416-05:00[America/Bogota]","0.0","0.8"
"Actualizar usuario","Actualizar usuario","FAILURE","2023-04-03T15:13:22.0057406-05:00[America/Bogota]","0.0","0.73"
